,Power (kW),Power-1 (kW),Temperature (°C),Humidity (%),Solar Radiation (W/m²),Hour of Day,Day of Week
2017-01-04 14:00:00,212.2375715,207.1819185,14.279166666666669,83.36666666666666,178.275,14,2
2017-01-04 15:00:00,212.1615335,212.2375715,14.0475,85.325,70.04,15,2
2017-01-04 16:00:00,207.215786,212.1615335,13.847499999999998,86.39166666666667,48.57916666666667,16,2
2017-01-04 17:00:00,153.886491,207.215786,13.749166666666667,86.72500000000001,4.784833333333333,17,2
2017-01-04 18:00:00,133.6671565,153.886491,13.616666666666667,87.31666666666666,0.6321666666666667,18,2
2017-01-04 19:00:00,100.0067945,133.6671565,13.453333333333331,88.00833333333333,0.6116666666666667,19,2
2017-01-04 20:00:00,79.0683765,100.0067945,13.068333333333332,89.5,0.5423333333333333,20,2
2017-01-04 21:00:00,59.149261,79.0683765,12.902500000000002,89.94166666666666,0.6831666666666667,21,2
2017-01-04 22:00:00,49.2278315,59.149261,12.415833333333332,90.5,0.97625,22,2
2017-01-04 23:00:00,47.202555,49.2278315,12.093846153846156,91.16923076923078,1.5914615384615385,23,2
2017-01-05 00:00:00,46.359145,47.202555,11.873333333333331,91.65,1.2624166666666663,0,3
2017-01-05 01:00:00,44.576185,46.359145,11.826666666666666,91.825,1.964,1,3
2017-01-05 02:00:00,43.4388925,44.576185,11.335833333333332,92.18333333333334,1.4885833333333334,2,3
2017-01-05 03:00:00,42.7965025,43.4388925,10.825,92.6,1.394,3,3
2017-01-05 04:00:00,43.1919875,42.7965025,10.777500000000002,93.25833333333333,1.2646666666666666,4,3
2017-01-05 05:00:00,47.8901745,43.1919875,10.339166666666667,94.28333333333336,1.2416666666666667,5,3
2017-01-05 06:00:00,52.149832,47.8901745,9.801666666666668,94.99166666666667,0.84475,6,3
2017-01-05 07:00:00,86.5699185,52.149832,9.226666666666668,95.34166666666664,1.3870833333333332,7,3
2017-01-05 08:00:00,107.6713375,86.5699185,8.825,95.69166666666666,19.43725,8,3
2017-01-05 09:00:00,133.7043015,107.6713375,8.76,95.76666666666668,65.7,9,3
2017-01-05 10:00:00,219.4091785,133.7043015,9.19,95.51666666666668,134.07500000000002,10,3
2017-01-05 11:00:00,190.9233335,219.4091785,9.628333333333334,95.29166666666669,201.9583333333333,11,3
2017-01-05 12:00:00,191.6133565,190.9233335,9.718333333333334,95.25,229.375,12,3
2017-01-05 13:00:00,198.440826,191.6133565,10.295833333333333,95.10833333333332,350.8,13,3
2017-01-05 14:00:00,199.73085,198.440826,10.200833333333334,95.225,257.7583333333333,14,3
2017-01-05 15:00:00,200.502155,199.73085,10.051666666666668,94.99166666666667,128.74166666666667,15,3
2017-01-05 16:00:00,201.316286,200.502155,10.045,94.775,52.965,16,3
2017-01-05 17:00:00,152.317224,201.316286,9.9525,94.93333333333334,3.957833333333333,17,3
2017-01-05 18:00:00,138.8705155,152.317224,9.9625,95.04166666666669,0.8655,18,3
2017-01-05 19:00:00,107.349924,138.8705155,9.915833333333332,95.175,0.9761666666666668,19,3
2017-01-05 20:00:00,83.7128125,107.349924,9.7875,95.39166666666668,0.8261666666666666,20,3
2017-01-05 21:00:00,59.170237,83.7128125,9.650833333333331,95.51666666666668,1.0061666666666669,21,3
2017-01-05 22:00:00,48.8651215,59.170237,9.28,95.75,1.0085,22,3
2017-01-05 23:00:00,44.972107,48.8651215,9.165833333333332,95.85833333333332,0.9206666666666666,23,3
2017-01-06 00:00:00,42.7742155,44.972107,9.445,95.7,0.7595,0,4
2017-01-06 01:00:00,42.6933705,42.7742155,9.258333333333333,95.89166666666668,1.09425,1,4
2017-01-06 02:00:00,42.9546965,42.6933705,9.056666666666668,96.05833333333334,0.8448333333333333,2,4
2017-01-06 03:00:00,43.1190085,42.9546965,8.610000000000001,96.34166666666664,0.8726666666666666,3,4
2017-01-06 04:00:00,42.6820085,43.1190085,8.184166666666666,96.65,1.0249166666666667,4,4
2017-01-06 05:00:00,46.7133335,42.6820085,8.361666666666666,96.56666666666666,0.7965,5,4
2017-01-06 06:00:00,52.3580625,46.7133335,8.220833333333333,96.68333333333334,0.6348333333333334,6,4
2017-01-06 07:00:00,88.637584,52.3580625,7.815833333333333,96.9,0.8773333333333334,7,4
2017-01-06 08:00:00,109.6548805,88.637584,7.44,97.11666666666667,19.59175,8,4
2017-01-06 09:00:00,123.7079265,109.6548805,7.142500000000001,97.325,63.7175,9,4
2017-01-06 10:00:00,218.510925,123.7079265,7.178666666666667,97.31666666666666,143.54999999999998,10,4
2017-01-06 11:00:00,199.508417,218.510925,7.409166666666667,97.2,225.275,11,4
2017-01-06 12:00:00,206.4827185,199.508417,7.896666666666666,96.98333333333332,274.40000000000003,12,4
2017-01-06 13:00:00,210.840701,206.4827185,8.709999999999999,93.39166666666668,373.825,13,4
2017-01-06 14:00:00,212.9761015,210.840701,10.915,77.925,373.10833333333335,14,4
2017-01-06 15:00:00,216.6853575,212.9761015,12.513333333333334,70.89583333333333,256.7583333333333,15,4
2017-01-06 16:00:00,213.9645955,216.6853575,12.75,71.04083333333334,115.36583333333331,16,4
2017-01-06 17:00:00,159.6756485,213.9645955,12.152499999999998,73.52499999999999,9.687416666666667,17,4
2017-01-06 18:00:00,141.3225225,159.6756485,12.3575,71.32666666666667,1.0179166666666666,18,4
2017-01-06 19:00:00,104.9488275,141.3225225,12.5375,68.44333333333333,0.71075,19,4
2017-01-06 20:00:00,78.147836,104.9488275,12.189166666666669,67.63583333333334,0.7039166666666667,20,4
2017-01-06 21:00:00,57.3215085,78.147836,11.205833333333333,68.18666666666667,0.9833333333333334,21,4
2017-01-06 22:00:00,47.5733495,57.3215085,10.2,70.64,0.9485,22,4
2017-01-06 23:00:00,46.919816,47.5733495,9.675384615384615,71.08461538461539,0.9312307692307692,23,4
2017-01-07 00:00:00,46.517776,46.919816,9.49,70.96666666666667,0.7686666666666667,0,5
2017-01-07 01:00:00,45.453681,46.517776,9.2475,73.225,0.6902499999999999,1,5
2017-01-07 02:00:00,44.258049,45.453681,8.788333333333334,76.83333333333333,0.8194166666666667,2,5
2017-01-07 03:00:00,43.994975,44.258049,8.275833333333333,79.075,0.868,3,5
2017-01-07 04:00:00,43.751129,43.994975,7.739166666666667,80.3,0.8195,4,5
2017-01-07 05:00:00,43.977932,43.751129,7.385833333333333,79.65833333333333,0.7503333333333333,5,5
2017-01-07 06:00:00,44.3238175,43.977932,7.29,78.575,0.8795000000000001,6,5
2017-01-07 07:00:00,48.347058,44.3238175,7.140833333333333,78.97500000000001,1.9415,7,5
2017-01-07 08:00:00,49.4201115,48.347058,7.207083333333333,76.55,59.4125,8,5
2017-01-07 09:00:00,49.287045,49.4201115,8.15,72.3325,197.04166666666663,9,5
2017-01-07 10:00:00,49.1574745,49.287045,9.06,66.735,328.0083333333333,10,5
2017-01-07 11:00:00,49.183476,49.1574745,9.874166666666666,62.465833333333336,420.6166666666666,11,5
2017-01-07 12:00:00,49.186098,49.183476,10.8575,60.9125,461.7916666666667,12,5
2017-01-07 13:00:00,49.1771395,49.186098,11.833333333333334,59.321666666666665,447.1833333333333,13,5
2017-01-07 14:00:00,50.7647605,49.1771395,12.53,58.80833333333334,377.9083333333333,14,5
2017-01-07 15:00:00,50.671024,50.7647605,13.441666666666668,57.15,263.6083333333333,15,5
2017-01-07 16:00:00,51.3197505,50.671024,13.421666666666669,58.02166666666667,111.09416666666668,16,5
2017-01-07 17:00:00,54.73862,51.3197505,12.286666666666669,63.8175,5.26375,17,5
2017-01-07 18:00:00,53.7599585,54.73862,12.03,66.80083333333333,0.7454999999999999,18,5
2017-01-07 19:00:00,54.438401,53.7599585,11.966666666666669,66.73166666666667,0.5724166666666667,19,5
2017-01-07 20:00:00,53.2984865,54.438401,11.746666666666668,67.56083333333333,0.7521666666666667,20,5
2017-01-07 21:00:00,47.452519,53.2984865,11.470833333333331,67.7075,0.8678333333333333,21,5
2017-01-07 22:00:00,46.3348915,47.452519,11.295,63.74583333333334,0.4105833333333333,22,5
2017-01-07 23:00:00,45.7244025,46.3348915,10.276666666666667,66.83333333333333,0.6829999999999999,23,5
2017-01-08 00:00:00,44.863294,45.7244025,9.829166666666667,67.47916666666667,0.6648333333333334,0,6
2017-01-08 01:00:00,43.598616,44.863294,9.2875,67.83749999999999,0.5863333333333333,1,6
2017-01-08 02:00:00,43.7688275,43.598616,8.750833333333334,67.81583333333333,0.4386666666666667,2,6
2017-01-08 03:00:00,43.4410775,43.7688275,7.430833333333333,81.18333333333334,0.427,3,6
2017-01-08 04:00:00,43.285287,43.4410775,7.076833333333333,78.10000000000001,0.5679166666666667,4,6
2017-01-08 05:00:00,43.05324,43.285287,6.764666666666667,77.80833333333334,0.56325,5,6
2017-01-08 06:00:00,43.0967215,43.05324,6.522583333333333,79.69166666666666,0.6001666666666666,6,6
2017-01-08 07:00:00,47.309183,43.0967215,6.25875,81.46666666666667,1.741,7,6
2017-01-08 08:00:00,47.2490955,47.309183,6.531083333333334,78.40833333333333,51.3325,8,6
2017-01-08 09:00:00,46.6858025,47.2490955,6.9955,74.59166666666667,179.24166666666667,9,6
2017-01-08 10:00:00,47.7061975,46.6858025,8.003333333333334,71.99166666666666,334.375,10,6
2017-01-08 11:00:00,47.393961,47.7061975,9.2475,66.73833333333333,402.60833333333335,11,6
2017-01-08 12:00:00,48.496949,47.393961,10.240833333333333,63.19583333333333,468.9083333333333,12,6
2017-01-08 13:00:00,47.905251,48.496949,11.4475,58.60166666666667,453.7416666666666,13,6
2017-01-08 14:00:00,48.634167,47.905251,12.266666666666666,55.62083333333334,377.25,14,6
2017-01-08 15:00:00,48.828195,48.634167,12.4625,53.97,269.3833333333333,15,6
2017-01-08 16:00:00,50.564396,48.828195,12.543333333333337,54.693333333333335,121.98333333333332,16,6
2017-01-08 17:00:00,52.7583545,50.564396,11.771666666666668,55.75666666666667,12.859833333333333,17,6
2017-01-08 18:00:00,52.534392,52.7583545,11.448333333333332,55.42166666666666,0.1800833333333333,18,6
2017-01-08 19:00:00,52.0683315,52.534392,10.990833333333333,59.155,0.4361666666666666,19,6
2017-01-08 20:00:00,51.5124675,52.0683315,10.2475,62.035,0.2793333333333333,20,6
2017-01-08 21:00:00,46.574586,51.5124675,9.994166666666668,56.475,0.2678333333333333,21,6
2017-01-08 22:00:00,45.2624935,46.574586,9.750833333333334,49.07333333333333,0.2146666666666666,22,6
2017-01-08 23:00:00,46.456159,45.2624935,9.25846153846154,48.36846153846154,0.2323076923076923,23,6
2017-01-09 00:00:00,46.6753145,46.456159,8.8825,50.3425,0.2031666666666667,0,0
2017-01-09 01:00:00,45.348364,46.6753145,8.838333333333333,52.2925,0.2309999999999999,1,0
2017-01-09 02:00:00,44.9211965,45.348364,9.058333333333334,51.5675,0.2146666666666666,2,0
2017-01-09 03:00:00,44.630373,44.9211965,8.589166666666666,55.501666666666665,0.2609166666666667,3,0
2017-01-09 04:00:00,43.36788,44.630373,7.53,73.20333333333333,0.28175,4,0
2017-01-09 05:00:00,47.620764,43.36788,8.314166666666667,52.1875,0.2561666666666667,5,0
2017-01-09 06:00:00,50.474811,47.620764,7.661166666666666,60.395833333333336,0.3185,6,0
2017-01-09 07:00:00,89.1831785,50.474811,6.286583333333333,72.345,1.4751666666666663,7,0
2017-01-09 08:00:00,113.4830005,89.1831785,6.707,68.935,61.54833333333334,8,0
2017-01-09 09:00:00,129.6148555,113.4830005,7.822416666666666,66.01583333333333,202.46666666666667,9,0
2017-01-09 10:00:00,204.4537275,129.6148555,7.883333333333333,66.22416666666668,333.0833333333333,10,0
2017-01-09 11:00:00,193.212558,204.4537275,9.729166666666666,58.02916666666667,428.14166666666665,11,0
2017-01-09 12:00:00,193.6414735,193.212558,11.163333333333334,50.06,471.9583333333333,12,0
2017-01-09 13:00:00,191.4630285,193.6414735,13.209166666666668,39.64666666666667,459.9,13,0
2017-01-09 14:00:00,202.330563,191.4630285,15.978333333333332,34.04666666666667,391.0,14,0
2017-01-09 15:00:00,208.772817,202.330563,15.893333333333333,37.635,268.4916666666667,15,0
2017-01-09 16:00:00,209.293721,208.772817,16.100833333333334,38.348333333333336,127.99,16,0
2017-01-09 17:00:00,156.076298,209.293721,14.736666666666666,44.32333333333333,13.059916666666666,17,0
2017-01-09 18:00:00,137.936865,156.076298,13.589166666666666,43.833333333333336,0.15225,18,0
